"pizzeria","pizza","price"
"Pizza Hut","pepperoni","12"
"Pizza Hut","sausage","12"
"Pizza Hut","cheese","9"
"Pizza Hut","supreme","12"
"Little Caesars","pepperoni","10"
"Little Caesars","sausage","10"
"Little Caesars","cheese","7"
"Little Caesars","mushroom","9"
"Dominos","cheese","10"
"Dominos","mushroom","11"
"Straw Hat","pepperoni","8"
"Straw Hat","cheese","9"
"Straw Hat","sausage","10"
"New York Pizza","pepperoni","8"
"New York Pizza","cheese","7"
"New York Pizza","supreme","9"
"Chicago Pizza","cheese","8"
"Chicago Pizza","supreme","9"
